query_id	subject_id	identity	qcov	scov	evalue	bitscore	best_hit	reciprocal_best_hit	confidence
MBB3329196.1	EHJ91882.1	49.8	55.3	94.7	4.2400000000000003e-85	265.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329197.1	EHJ91883.1	62.5	97.1	97.7	1.5000000000000001e-208	588.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329198.1	EHJ91884.1	79.9	100.0	100.0	5.61e-207	566.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329199.1	EHJ91885.1	81.1	94.1	99.3	1.0100000000000001e-266	728.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329200.1	EHJ91886.1	65.8	98.5	99.1	1.61e-137	390.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329201.1	EHJ91887.1	80.3	92.3	95.6	1.01e-245	675.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329202.1	EHJ91888.1	74.5	94.1	99.8	5.2199999999999995e-288	789.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329203.1	EHJ91889.1	51.3	39.0	87.6	1.52e-21	81.6	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329204.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329205.1	EHJ91890.1	82.8	87.6	93.1	1.5199999999999998e-228	629.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329206.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329207.1	EHJ91892.1	61.8	95.6	96.4	3.2900000000000004e-154	439.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329208.1	EHJ91628.1	56.3	98.6	87.1	1.66e-51	158.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329209.1	EHJ91627.1	78.7	97.7	97.4	6.980000000000001e-163	452.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329210.1	EHJ91626.1	75.4	97.2	96.2	1.85e-204	565.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329211.1	EHJ94295.1	58.8	96.2	95.5	4.61e-152	432.0	YES	NO	POSSIBLE_ORTHOLOG
MBB3329212.1	EHJ92383.1	77.1	89.4	100.0	7.94e-120	337.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329213.1	EHJ92384.1	53.2	98.9	99.8	3.19e-222	629.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329214.1	EHJ92385.1	55.6	94.6	97.2	2.47e-34	111.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329215.1	EHJ92386.1	38.7	15.2	9.8	4e-10	60.1	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329216.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329217.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329218.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329219.1	EHJ92387.1	48.3	94.7	96.2	4.5e-59	181.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329220.1	EHJ92388.1	78.6	100.0	100.0	1.72e-259	711.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329221.1	EHJ92389.1	77.6	97.2	97.1	0.0	1037.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329222.1	EHJ92390.1	66.5	72.3	90.3	5.440000000000001e-223	628.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329223.1	EHJ91625.1	84.9	100.0	100.0	8.98e-48	144.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329224.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329225.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329226.1	EHJ92877.1	53.8	97.6	90.9	1.7599999999999998e-74	221.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329227.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329228.1	EHJ91624.1	87.4	100.0	100.0	0.0	1211.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329229.1	EHJ91622.1	67.4	50.6	68.2	1.81e-44	145.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329230.1	EHJ91617.1	84.8	100.0	99.5	2.81e-135	375.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329231.1	EHJ91619.1	45.6	71.2	73.1	6.11e-39	130.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329232.1	EHJ91616.1	71.6	97.5	98.0	2.7599999999999997e-189	523.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329233.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329234.1	EHJ92246.1	31.5	94.3	48.0	2.98e-31	120.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329235.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329236.1	EHJ93723.1	28.3	87.8	84.0	1.5999999999999998e-30	121.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329237.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329238.1	EHJ93928.1	46.4	99.6	98.7	5.15e-61	187.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329239.1	EHJ91614.1	85.1	98.4	97.6	4.2399999999999996e-67	195.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329240.1	EHJ91613.1	71.6	99.0	99.4	0.0	976.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329241.1	EHJ91612.1	56.7	92.3	87.0	1.93e-19	70.9	YES	YES	POSSIBLE_ORTHOLOG
MBB3329242.1	EHJ91611.1	77.5	99.8	99.0	0.0	1336.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329243.1	EHJ91610.1	61.7	97.9	97.9	9.48e-155	437.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329244.1	EHJ91609.1	68.0	99.0	89.3	3.92e-43	133.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329245.1	EHJ91608.1	93.6	100.0	100.0	4.31e-289	780.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329246.1	EHJ91607.1	87.2	98.6	90.5	4.1599999999999997e-140	389.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329247.1	EHJ92305.1	91.3	93.7	89.7	1.79e-70	203.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329248.1	EHJ92306.1	86.5	99.3	99.3	7.69e-196	536.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329249.1	EHJ94914.1	63.5	95.0	85.0	1.63e-40	127.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329250.1	EHJ92307.1	68.8	100.0	99.5	3.14e-104	296.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329251.1	EHJ92308.1	78.1	100.0	100.0	0.0	930.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329252.1	EHJ92309.1	81.3	100.0	100.0	6.62e-99	280.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329253.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329254.1	EHJ92310.1	64.9	98.3	97.4	1.73e-222	622.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329255.1	EHJ92311.1	57.9	28.6	46.9	2.66e-13	58.2	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329256.1	EHJ92312.1	68.4	97.9	97.9	4.860000000000001e-47	142.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329257.1	EHJ92313.1	88.8	100.0	100.0	6.91e-61	177.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329258.1	EHJ92314.1	75.0	99.0	99.0	1.45e-43	134.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329259.1	EHJ92315.1	55.7	100.0	100.0	8.12e-139	399.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329260.1	EHJ92316.1	77.8	99.6	98.7	3.0000000000000004e-124	348.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329261.1	EHJ92317.1	68.2	91.4	97.7	1.22e-30	100.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329262.1	EHJ91589.1	73.5	100.0	100.0	3.0300000000000003e-125	353.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329263.1	EHJ91588.1	58.6	91.0	97.9	7.02e-52	160.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329264.1	EHJ91587.1	94.8	100.0	100.0	1.64e-63	184.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329265.1	EHJ91586.1	90.7	100.0	100.0	0.0	923.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329266.1	EHJ91584.1	76.5	98.8	100.0	2.9599999999999997e-128	360.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329267.1	EHJ91583.1	79.6	99.8	99.8	3.1099999999999996e-225	622.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329268.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329269.1	EHJ93632.1	81.7	99.4	100.0	2.5599999999999997e-197	541.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329270.1	EHJ93633.1	79.9	88.8	98.6	9.31e-204	563.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329271.1	EHJ93638.1	73.9	98.1	98.1	5.87e-162	451.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329272.1	EHJ93639.1	88.1	100.0	100.0	1.6000000000000002e-73	211.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329273.1	EHJ93634.1	68.4	65.4	100.0	1.32e-109	316.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329274.1	EHJ93635.1	89.2	99.8	100.0	3.59e-256	698.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329275.1	EHJ93636.1	78.3	99.4	99.4	4.6e-94	268.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329276.1	EHJ93637.1	75.8	97.2	97.2	8.06e-193	532.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329277.1	EHJ93640.1	65.1	98.8	100.0	5.1899999999999996e-114	325.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329278.1	EHJ94873.1	80.3	100.0	100.0	9.86e-227	624.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329279.1	EHJ94872.1	68.3	92.8	88.8	4.37e-77	225.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329280.1	EHJ94871.1	85.2	100.0	99.4	2.8999999999999997e-205	561.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329281.1	EHJ94668.1	60.0	97.3	98.8	3.92e-103	297.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329282.1	EHJ94870.1	78.8	99.3	99.3	7.91e-167	462.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329283.1	EHJ94869.1	83.8	100.0	100.0	1.1500000000000002e-247	675.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329284.1	EHJ94868.1	77.2	99.7	97.4	2.3400000000000003e-164	456.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329285.1	EHJ93625.1	72.0	92.2	88.8	4.0800000000000004e-103	295.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329286.1	EHJ93626.1	84.2	100.0	100.0	0.0	952.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329287.1	EHJ93627.1	87.0	97.2	99.4	1.9900000000000003e-192	528.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329288.1	EHJ93628.1	90.3	99.6	100.0	8.439999999999999e-172	473.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329289.1	EHJ93629.1	79.7	97.6	96.9	9.9e-297	811.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329290.1	EHJ93630.1	75.2	98.9	100.0	3.86e-244	671.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329291.1	EHJ93469.1	26.0	85.8	92.9	2.17e-16	74.7	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329292.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329293.1	EHJ93631.1	73.8	98.4	98.6	4.98e-195	539.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329294.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329295.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329296.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329297.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329298.1	EHJ92483.1	38.6	64.3	99.3	4.280000000000001e-59	194.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329299.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329300.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329301.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329302.1	EHJ92044.1	41.7	13.6	9.9	3.11e-07	49.3	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329303.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329304.1	EHJ91230.1	72.2	98.0	98.6	1.42e-149	418.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329305.1	EHJ91229.1	78.2	100.0	100.0	1.2300000000000001e-117	332.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329306.1	EHJ91228.1	70.4	89.3	98.2	3.49e-111	316.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329307.1	EHJ91227.1	77.6	93.4	94.4	1.75e-142	398.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329308.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329309.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329310.1	EHJ93275.1	54.9	96.1	98.1	1.47e-111	324.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329311.1	EHJ93276.1	65.8	100.0	100.0	5.6000000000000005e-133	377.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329312.1	EHJ91455.1	89.7	99.7	99.7	9.900000000000001e-259	702.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329313.1	EHJ91454.1	93.6	100.0	100.0	0.0	1002.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329314.1	EHJ91453.1	81.1	88.5	92.7	9.69e-145	404.0	YES	YES	FUNCTION_CONFLICT
MBB3329315.1	EHJ91452.1	83.6	99.0	97.5	0.0	1099.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329316.1	EHJ91451.1	75.7	98.7	98.3	5.450000000000001e-156	434.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329317.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329318.1	EHJ91070.1	60.6	45.2	12.1	1.23e-07	43.5	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329319.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329320.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329321.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329322.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329323.1	EHJ93238.1	61.3	96.1	96.2	9.38e-96	276.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329324.1	EHJ92984.1	78.4	96.5	96.5	1.52e-111	314.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329325.1	EHJ92487.1	37.9	90.3	84.5	4.68e-84	264.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329326.1	EHJ92056.1	30.5	71.3	74.3	2.22e-08	45.4	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329327.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329328.1	EHJ91831.1	25.1	100.0	98.8	1.53e-22	95.5	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329329.1	EHJ91832.1	36.8	48.0	98.8	7.009999999999999e-54	184.0	YES	NO	FUNCTION_CONFLICT
MBB3329330.1	EHJ92906.1	37.2	93.7	86.3	2.18e-101	317.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329331.1	EHJ92819.1	84.8	99.5	100.0	0.0	1253.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329332.1	EHJ92405.1	48.3	13.3	13.7	2.21e-11	62.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329333.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329334.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329335.1	EHJ93692.1	50.6	94.5	93.4	2.55e-50	156.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329336.1	EHJ93511.1	26.2	95.5	97.0	6.02e-13	64.3	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329337.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329338.1	EHJ92517.1	62.2	87.8	99.0	3.98e-67	202.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329339.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329340.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329341.1	EHJ94466.1	76.4	95.1	96.0	4.38e-282	772.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329342.1	EHJ93577.1	36.1	50.5	17.8	7.21e-34	133.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329343.1	EHJ92606.1	37.0	90.9	88.9	2.0800000000000002e-66	209.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329344.1	EHJ92607.1	31.8	87.8	88.5	6.47e-39	139.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329345.1	EHJ93382.1	28.5	98.3	95.5	1.48e-31	116.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329346.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329347.1	EHJ93983.1	70.4	98.3	94.3	3.89e-61	180.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329348.1	EHJ93982.1	73.7	86.8	92.9	2.51e-63	186.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329349.1	EHJ93981.1	63.3	53.4	95.5	4.71e-68	205.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329350.1	EHJ93980.1	62.2	97.6	98.5	2.49e-162	459.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329351.1	EHJ92049.1	57.9	74.3	94.7	1.0899999999999998e-42	134.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329352.1	EHJ91490.1	41.0	72.0	76.3	8.070000000000001e-43	143.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329353.1	EHJ91491.1	32.9	79.4	84.1	7.67e-28	101.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329354.1	EHJ92824.1	42.2	95.3	94.4	1.8899999999999998e-46	148.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329355.1	EHJ93478.1	63.4	95.3	91.7	7.730000000000001e-252	701.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329356.1	EHJ94909.1	51.9	91.3	95.9	4.87e-61	186.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329357.1	EHJ91578.1	32.9	80.9	71.7	2.46e-25	100.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329358.1	EHJ91578.1	31.8	69.5	84.2	2.73e-24	99.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329359.1	EHJ91577.1	42.0	77.4	78.5	1.48e-49	161.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329360.1	EHJ91576.1	33.7	83.3	88.6	4.859999999999999e-42	145.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329361.1	EHJ93228.1	77.9	100.0	100.0	1.94e-183	506.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329362.1	EHJ93229.1	48.7	91.9	88.0	3.2e-50	156.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329363.1	EHJ93233.1	86.9	100.0	100.0	9.03e-237	649.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329364.1	EHJ93234.1	71.3	83.3	97.2	8.57e-85	246.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329365.1	EHJ93235.1	83.9	98.3	98.6	3.14e-217	594.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329366.1	EHJ94903.1	51.9	92.3	90.8	2.37e-103	305.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329367.1	EHJ94902.1	61.2	97.1	92.4	1.69e-149	425.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329368.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329369.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329370.1	EHJ93990.1	55.6	67.8	89.0	3.08e-94	281.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329371.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329372.1	EHJ92032.1	76.6	95.5	100.0	9.96e-72	207.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329373.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329374.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329375.1	EHJ93346.1	34.2	70.8	79.4	2.42e-22	89.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329376.1	EHJ92884.1	81.5	99.3	100.0	1.14e-257	701.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329377.1	EHJ92883.1	62.2	97.0	98.6	3.41e-155	438.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329378.1	EHJ92882.1	83.8	96.0	96.4	2.24e-295	804.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329379.1	EHJ92879.1	78.9	99.5	100.0	6.49e-316	861.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329380.1	EHJ92878.1	57.1	96.2	97.4	2.02e-97	281.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329381.1	EHJ92875.1	52.6	95.8	95.8	8.67e-37	118.0	YES	YES	PARALOG_AMBIGUOUS
MBB3329382.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329383.1	EHJ91921.1	30.4	82.5	90.2	1.05e-39	144.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329384.1	EHJ92874.1	65.2	93.7	90.1	1.4500000000000002e-70	208.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329385.1	EHJ92873.1	82.1	100.0	100.0	4.08e-71	205.0	YES	YES	VERY_HIGH_CONFIDENCE
MBB3329386.1	EHJ92872.1	77.0	100.0	100.0	2.23e-228	626.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329387.1	EHJ92871.1	76.6	100.0	100.0	1.47e-130	365.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329388.1	EHJ92868.1	91.2	91.1	100.0	1.25e-280	761.0	YES	YES	PROBABLE_ORTHOLOG
