gene_id	protein_id	ncbi_annotation	uniprot_id	uniprot_reviewed	uniprot_function	ec	ko	kegg_gene	go	diamond_hit	rbh_hit	identity	query_coverage	subject_coverage	evalue	bitscore	reference_gene	reference_function	evidence_sources	evidence_class	conflict_flag
NOT_IN_CURRENT_CARVEME	EHJ91095.1	Lysozyme	UNMAPPED	UNKNOWN	Lysozyme	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91096.1	Uncharacterized protein	A0A265DTI3	UNKNOWN	Uncharacterized protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91097.1	Zinc peptidase	A0A265DTB2	UNKNOWN	Zinc peptidase	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91098.1	Uncharacterized protein	A0ABX4G519	UNKNOWN	Uncharacterized protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91099.1	Uncharacterized protein	A0A265DTE9	UNKNOWN	Uncharacterized protein	MISSING	MISSING			MBB3332318.1	YES	43.4	55.8	55.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91100.1	Toxic anion resistance protein	A0A265DTK0	UNKNOWN	Toxic anion resistance protein	MISSING	MISSING			MBB3331393.1	YES	71.8	98.5	96.5			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91101.1	Cobyrinic acid a,c-diamide synthase	A0A265DTD1	UNKNOWN	Cobyrinic acid a,c-diamide synthase	MISSING	MISSING			MBB3331392.1	YES	69.1	99.0	99.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91102.1	DUF2892 domain-containing protein	A0A265DTA4	UNKNOWN	DUF2892 domain-containing protein	MISSING	MISSING			MBB3329556.1	YES	79.0	98.4	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91103.1	Peroxiredoxin	A0A265DTL0	UNKNOWN	Peroxiredoxin	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91104_1	EHJ91104.1	MBL fold metallo-hydrolase	A0A265DU33	UNKNOWN	MBL fold metallo-hydrolase	MISSING	MISSING			MBB3329558.1	YES	83.9	97.6	99.3			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91105.1	YeeE/YedE family protein	A0A265DT76	UNKNOWN	YeeE/YedE family protein	MISSING	MISSING			MBB3329561.1	YES	65.4	99.4	98.1			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91106.1	YeeE/YedE family protein	A0ABX4G571	UNKNOWN	YeeE/YedE family protein	MISSING	MISSING			MBB3329562.1	YES	72.1	95.8	97.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91107.1	DNA-binding response regulator	A0ABX4G5T9	UNKNOWN	DNA-binding response regulator	MISSING	MISSING			MBB3329563.1	YES	82.9	96.1	89.9			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91108.1	histidine kinase (EC 2.7.13.3)	A0ABX4G587	UNKNOWN	histidine kinase (EC 2.7.13.3)	2.7.13.3	MISSING			MBB3329564.1	YES	71.5	99.8	100.0			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91109.1	Cytochrome c4	A0A265DT81	UNKNOWN	Cytochrome c4	MISSING	MISSING			MBB3329565.1	YES	74.3	90.1	91.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91110.1	Cytochrome C	A0A265DT75	UNKNOWN	Cytochrome C	MISSING	MISSING			MBB3329566.1	YES	76.6	84.2	86.2			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91111.1	hypothetical protein KUC_3553	UNMAPPED	UNKNOWN	hypothetical protein KUC_3553	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91112.1	hypothetical protein KUC_3554	UNMAPPED	UNKNOWN	hypothetical protein KUC_3554	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91113.1	Thiol:disulfide interchange protein	A0A265DUL2	UNKNOWN	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process..	MISSING	MISSING			MBB3332396.1	YES	65.8	89.8	90.3			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
EHJ91114_1	EHJ91114.1	Thiol:disulfide interchange protein	A0A265DUL5	UNKNOWN	Thiol:disulfide interchange protein	MISSING	MISSING			MBB3332397.1	YES	67.0	98.9	99.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91115_1	EHJ91115.1	Alpha-amylase	A0A265DUM4	UNKNOWN	Alpha-amylase	MISSING	MISSING			MBB3331361.1	YES	70.3	96.6	98.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91116.1	Transcriptional repressor NrdR	A0ABX4G5M1	UNKNOWN	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR-boxes..	MISSING	MISSING			MBB3332399.1	YES	85.7	87.5	85.9			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
EHJ91117_1	EHJ91117.1	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	A0A265DUQ6	UNKNOWN	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)-pyrimidinedione 5'-phosphate..	1.1.1.193; 3.5.4.26	MISSING			MBB3332400.1	YES	71.4	97.4	94.2			Csal_2585	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
EHJ91118_1	EHJ91118.1	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	A0A265DUV9	UNKNOWN	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate..	4.1.99.12	MISSING			MBB3332401.1	YES	78.2	96.9	97.9			Csal_2584	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	UNIPROT;EC;HC_RBH;HALOGEM_RBH	CONFLICT	YES
EHJ91119_1	EHJ91119.1	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	A0A265DUN5	UNKNOWN	Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin..	2.5.1.78	MISSING			MBB3332402.1	YES	84.0	95.1	96.3			Csal_2583	6,7-dimethyl-8-ribityllumazine synthase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91120.1	Transcription antitermination protein NusB (Antitermination factor NusB)	A0A265DVJ2	UNKNOWN	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons..	MISSING	MISSING			MBB3332403.1	YES	84.4	95.8	97.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
EHJ91121_1	EHJ91121.1	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	A0A265DUN8	UNKNOWN	Catalyzes the ATP-dependent phosphorylation of thiamine-monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1..	2.7.4.16	MISSING			MBB3332404.1	YES	60.7	97.2	99.4			Csal_2581	thiamine-phosphate kinase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	HIGH	NO
EHJ91122_1	EHJ91122.1	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A)	A0A265DUU5	UNKNOWN	Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG)..	3.1.3.27	MISSING			MBB3332405.1	YES	82.8	100.0	100.0			Csal_2580	phosphatidylglycerophosphatase A	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91123.1	DUF945 domain-containing protein	A0A265DUM2	UNKNOWN	DUF945 domain-containing protein	MISSING	MISSING			MBB3332406.1	YES	53.1	99.8	99.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91124.1	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	A0A265DUM3	UNKNOWN	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner..	3.4.21.53	MISSING			MBB3332407.1	YES	87.6	95.0	92.7			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91125.1	Chemotaxis protein	A0ABX4G693	UNKNOWN	Chemotaxis protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91126.1	Chemotaxis protein	A0A265DUN9	UNKNOWN	Chemotaxis protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91127_1	EHJ91127.1	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	A0A265DUR7	UNKNOWN	Functions in the biosynthesis of branched-chain amino acids. Catalyzes the dehydration of (2R,3R)-2,3-dihydroxy-3-methylpentanoate (2,3-dihydroxy-3-methylvalerate) into 2-oxo-3-methylpentanoate (2-oxo-3-methylvalerate) and of (2R)-2,3-dihydroxy-3-methylbutanoate (2,3-dihydroxyisovalerate) into 2-oxo-3-methylbutanoate (2-oxoisovalerate), the penultimate precursor to L-isoleucine and L-valine, respectively..	4.2.1.9	MISSING			MBB3332408.1	YES	88.4	100.0	100.0			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91128.1	Oxidoreductase	A0A265DUX1	UNKNOWN	Oxidoreductase	MISSING	MISSING			MBB3332409.1	YES	64.3	94.7	97.2			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91129_1	EHJ91129.1	ADP compounds hydrolase NudE	A0A265DUV2	UNKNOWN	ADP compounds hydrolase NudE	MISSING	MISSING			MBB3332410.1	YES	86.4	95.3	90.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91130_1	EHJ91130.1	Haloacid dehalogenase	A0ABX4G5P2	UNKNOWN	Haloacid dehalogenase	MISSING	MISSING			MBB3332411.1	YES	83.6	93.6	87.3			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91131.1	Heat shock protein 15	A0A265DVK1	UNKNOWN	Heat shock protein 15	MISSING	MISSING			MBB3332412.1	YES	83.2	97.7	96.9			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91132.1	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	A0A265DUP9	UNKNOWN	Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress..	MISSING	MISSING			MBB3332413.1	YES	74.9	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91133.1	hypothetical protein KUC_3575	UNMAPPED	UNKNOWN	hypothetical protein KUC_3575	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
EHJ91134_1	EHJ91134.1	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	A0A265DUV7	UNKNOWN	Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA..	4.1.1.49	MISSING			MBB3332414.1	YES	87.4	99.8	99.8			Csal_2657	phosphoenolpyruvate carboxykinase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91135.1	peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	A0ABX4G751	UNKNOWN	peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	1.8.4.12	MISSING			MBB3332415.1	YES	76.4	100.0	93.2			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91136.1	Alpha-hydroxy-acid oxidizing enzyme	A0A265DUN3	UNKNOWN	Alpha-hydroxy-acid oxidizing enzyme	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91137.1	LysR family transcriptional regulator	A0A265DUP4	UNKNOWN	LysR family transcriptional regulator	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91138.1	DUF1127 domain-containing protein	A0A265DUP7	UNKNOWN	DUF1127 domain-containing protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91139.1	hypothetical protein KUC_3581	UNMAPPED	UNKNOWN	hypothetical protein KUC_3581	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91140.1	RNA-binding transcriptional accessory protein	A0A265DUS2	UNKNOWN	RNA-binding transcriptional accessory protein	MISSING	MISSING			MBB3332416.1	YES	83.9	92.2	93.7			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91141.1	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	A0ABX4G8B2	UNKNOWN	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	6.3.2.2	MISSING			MBB3332417.1	YES	72.6	98.1	95.8			Csal_2654	glutamate--cysteine ligase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91142.1	Disulfide bond formation protein B (Disulfide oxidoreductase)	A0A265DUQ2	UNKNOWN	Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein..	MISSING	MISSING			MBB3332418.1	YES	72.5	93.0	96.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91143.1	Alpha/beta hydrolase	A0A265DVL0	UNKNOWN	Alpha/beta hydrolase	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91144_1	EHJ91144.1	ABC transporter ATP-binding protein	A0A265DUQ5	UNKNOWN	ABC transporter ATP-binding protein	MISSING	MISSING			MBB3331379.1	YES	46.8	92.1	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91145_1	EHJ91145.1	ABC transporter ATP-binding protein	A0A265DUW8	UNKNOWN	ABC transporter ATP-binding protein	MISSING	MISSING			MBB3331378.1	YES	45.0	88.5	95.2			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91146.1	Branched-chain amino acid ABC transporter permease	A0A265DUP2	UNKNOWN	Branched-chain amino acid ABC transporter permease	MISSING	MISSING			MBB3331377.1	YES	34.6	75.2	77.5			UNMAPPED	MISSING	UNIPROT;HC_RBH	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91147.1	Branched-chain amino acid ABC transporter permease	A0A265DUP6	UNKNOWN	Branched-chain amino acid ABC transporter permease	MISSING	MISSING			MBB3331376.1	YES	44.1	97.2	96.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91148.1	ABC transporter substrate-binding protein	A0A265DUQ4	UNKNOWN	ABC transporter substrate-binding protein	MISSING	MISSING			MBB3331375.1	YES	29.8	94.9	96.1			UNMAPPED	MISSING	UNIPROT;HC_RBH	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91149.1	Rsd/AlgQ family anti-sigma factor	A0A265DUQ8	UNKNOWN	Rsd/AlgQ family anti-sigma factor	MISSING	MISSING			MBB3332419.1	YES	77.4	92.3	95.7			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91150.1	hypothetical protein KUC_3592	UNMAPPED	UNKNOWN	hypothetical protein KUC_3592	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
EHJ91151_1	EHJ91151.1	AcrB/AcrD/AcrF family protein	A0A265DUT3	UNKNOWN	AcrB/AcrD/AcrF family protein	MISSING	MISSING			MBB3332420.1	YES	76.3	99.2	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
